moment_id,set_id,play_id,serialNumber
863474,26,397,700
1029012,26,464,1473
895035,26,403,2011
1488239,26,495,6766
1633923,26,493,8200
1423851,26,508,5128
1265623,26,499,3583
1286129,26,387,4714
1652555,26,488,8957
1402964,26,492,7366
1252774,26,505,3234
1342954,26,499,4039
1568487,26,394,7889
1034557,26,463,1143
1279247,26,508,3832
1658079,26,503,8856
1646410,26,497,8187
1354960,26,510,4545
1066894,26,475,2355
932660,26,400,3511
1651476,26,492,8503
1629702,26,511,8229
1597973,26,467,8000
1356039,26,511,4749
1241976,26,501,2686
1626129,26,493,7781
1615704,26,491,7606
1618630,26,511,8032
1633824,26,508,8351
1299351,26,405,4186
1531939,26,501,6216
1210848,26,510,1558
1484287,26,474,5814
1479362,26,502,6389
1650339,26,503,8741
1521904,26,473,5681
1621464,26,492,7741
1532866,26,501,6393
996597,26,458,1058
1539972,26,503,7374
1626525,26,503,8302
1598106,26,467,8008
1650306,26,503,8708
1417697,26,514,5599
1608938,26,480,7715
933054,26,400,3655
1387365,26,506,6267
1613242,26,473,8769
1438975,26,387,6127
1242420,26,504,2005
1568183,26,387,8085
1298542,26,405,4002
1626233,26,508,7885
1635822,26,492,8224
1052105,26,473,1566
1011342,26,456,2928
1170531,26,487,1116
1087945,26,472,3031
1227596,26,506,2931
1094476,26,464,3562
1260019,26,490,3479
999101,26,458,1687
1045171,26,465,2132
1241010,26,498,2595
1633815,26,508,8342
1025390,26,463,1101
1602107,26,468,7759
996722,26,457,1933
1704621,26,497,9694
1655111,26,512,8638
1484792,26,457,6319
910474,26,393,2825
1684461,26,468,9138
1374868,26,494,5520
1401454,26,480,7106
1654326,26,497,8978
1088235,26,475,2946
1709578,26,503,9279
145841,2,127,703
1235844,26,496,2179
1023535,26,464,1121
1202906,26,498,991
1543874,32,519,151
1350033,26,508,4368
883014,26,390,1615
995675,26,457,1511
1088135,26,475,2846
1545500,32,518,527
1279481,26,505,3566
1548110,32,515,2512
1065049,26,472,2260
1550013,32,520,1040
1564823,32,517,4975
1515532,26,493,5809
1028784,26,456,3370
1347818,26,505,4028
1158810,2,276,1692
962802,2,168,2745
1479624,26,398,5901
2199305,26,550,1953
1824926,26,468,10739
2070310,26,539,4958
1924435,26,499,10100
1923471,26,530,1387
1461146,26,457,5048
2034330,26,536,7853
1630951,26,508,8228
956686,2,287,1037
2315585,26,559,6983
140413,2,40,660
563265,2,20,2503
2025811,26,536,2584
966803,2,310,1093
124693,2,119,569
1638327,26,480,8604
1449135,26,467,7287
539134,2,189,1047
2503541,26,530,14186
1710168,26,505,9245
1825431,26,468,11119
902258,26,386,2859
2087795,26,540,10443
1298654,26,405,4114
1517186,26,493,6713
1039763,26,470,1474
2614559,26,493,14954
2326731,26,560,9754
1640173,26,512,8200
2231575,26,552,10598
2703570,32,516,2995
1733019,26,521,5980
2171666,26,546,11564
2363695,26,564,3843
1747333,26,522,1914
2058029,26,538,7052
2499984,26,527,13629
1819532,26,525,6346
2235676,26,553,2324
2388581,26,565,11229
1789238,26,523,11934
2504188,26,526,14583
2265847,26,554,11120
2342230,26,561,8378
2284753,26,557,2651
1960597,26,531,7630
1977049,26,533,1206
2169780,26,547,9803
2065012,26,537,11910
1920327,26,492,11743
2093291,26,541,3439
1883945,26,528,5120
2462598,26,524,13743
2535236,26,545,14006
2178635,26,548,3783
821860,2,122,3430
1967633,26,532,7416
2481879,26,499,14524
1728512,26,521,4223
2134986,26,544,7384
2228511,26,551,10409
938829,26,410,3555
1911002,26,529,8296
2262977,26,555,7625
2194594,26,549,10117
2275711,26,556,6359
2346295,26,562,6818
2473963,26,534,12733
1706175,26,493,9999
2631262,26,558,14657
2121304,26,543,7952
2105893,26,542,6541
2596547,26,563,14942
2495562,26,535,14207
1502750,26,476,7152
1318975,26,473,4185
1365806,26,456,6208
1420483,26,464,5260
1725417,26,521,1878
1667126,26,411,9286
844995,26,407,221
1165381,26,489,216
1859795,26,527,3226
2285752,26,558,1150
2169163,26,547,9186
2514849,26,489,14119
1493157,26,476,6934
1040878,26,465,1839
1290696,26,396,4531
1089190,26,481,3401
